,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kapaa,US,22.0752,-159.319,75.18,79,20,1.01,few clouds
80,Mataura,NZ,-46.1927,168.8643,57.47,53,4,5.44,clear sky
81,Belyy Yar,RU,53.6039,91.3903,4.89,85,100,4.47,mist
82,Jamestown,US,42.097,-79.2353,28.71,79,0,8.05,clear sky
83,Ancud,CL,-41.8697,-73.8203,52.43,90,2,1.99,clear sky
84,Georgetown,MY,5.4112,100.3354,87.75,73,20,5.99,moderate rain
85,Bambous Virieux,MU,-20.3428,57.7575,83.21,83,75,11.5,light rain
86,Vaini,TO,-21.2,-175.2,75.36,94,100,8.05,light rain
87,Ushuaia,AR,-54.8,-68.3,62.26,63,40,12.66,scattered clouds
88,Provideniya,RU,64.3833,-173.3,-0.29,65,5,15.66,clear sky
89,Atuona,PF,-9.8,-139.0333,79.02,75,40,17.16,scattered clouds
90,Guerrero Negro,MX,27.9769,-114.0611,59.56,63,0,3.24,clear sky
91,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,9.22,broken clouds
92,Kudahuvadhoo,MV,2.6708,72.8944,81.5,64,13,11.41,few clouds
93,Toamasina,MG,-18.1667,49.3833,87.8,55,20,12.66,few clouds
94,Avarua,CK,-21.2078,-159.775,78.85,83,75,12.66,broken clouds
95,Texarkana,US,33.4251,-94.0477,37.62,74,0,0.0,clear sky
96,Castro,BR,-24.7911,-50.0119,59.5,93,5,2.53,clear sky
97,Mackenzie,CA,55.2999,-123.1698,41.22,60,100,12.66,overcast clouds
98,Saskylakh,RU,71.9167,114.0833,-26.18,99,92,4.61,overcast clouds
99,Lompoc,US,34.6391,-120.4579,58.12,87,0,0.0,clear sky
100,Butaritari,KI,3.0707,172.7902,82.15,75,65,16.31,light rain
101,Morgan City,US,29.6994,-91.2068,42.8,93,0,0.0,clear sky
102,East London,ZA,-33.0153,27.9116,72.54,88,0,4.61,clear sky
103,Hofn,IS,64.2539,-15.2082,33.31,97,100,31.7,heavy snow
104,Busselton,AU,-33.65,115.3333,71.1,45,41,20.62,scattered clouds
105,Chuy,UY,-33.6971,-53.4616,62.42,82,52,12.75,broken clouds
106,Avarua,CK,-21.2078,-159.775,78.85,83,75,12.66,broken clouds
107,Bethel,US,41.3712,-73.414,29.05,85,100,0.0,overcast clouds
108,Qaanaaq,GL,77.484,-69.3632,-10.77,60,31,7.7,scattered clouds
109,Chiredzi,ZW,-21.05,31.6667,69.66,80,40,6.76,light rain
110,Khatanga,RU,71.9667,102.5,-19.43,98,100,9.31,overcast clouds
111,Chokurdakh,RU,70.6333,147.9167,-41.26,99,89,3.56,overcast clouds
112,Half Moon Bay,US,37.4636,-122.4286,56.77,73,100,9.22,mist
113,Saint-Pierre,RE,-21.3393,55.4781,85.68,66,20,5.75,few clouds
114,Cherskiy,RU,68.75,161.3,-30.89,100,39,1.97,scattered clouds
115,Lebu,CL,-37.6167,-73.65,57.85,93,6,12.64,clear sky
116,Port Alfred,ZA,-33.5906,26.891,78.91,64,47,1.54,scattered clouds
117,Pacifica,US,37.6138,-122.4869,55.42,85,20,10.36,mist
118,Chifeng,CN,42.2683,118.9636,28.2,33,77,7.36,broken clouds
119,Big Rapids,US,43.6981,-85.4837,30.69,82,100,5.75,overcast clouds
120,Cherskiy,RU,68.75,161.3,-30.89,100,39,1.97,scattered clouds
121,Bredasdorp,ZA,-34.5322,20.0403,67.28,88,5,3.44,clear sky
122,Saltillo,MX,25.4167,-101.0,46.17,88,90,4.36,overcast clouds
123,Barrow,US,71.2906,-156.7887,-27.38,68,0,13.8,clear sky
124,Atuona,PF,-9.8,-139.0333,79.02,75,40,17.16,scattered clouds
125,Coquimbo,CL,-29.9533,-71.3436,64.13,82,90,3.44,overcast clouds
126,Longyearbyen,SJ,78.2186,15.6401,17.44,73,0,8.05,clear sky
