City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1675,Hobart,AU,81.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
1676,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1679,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1682,Huarmey,PE,71.01,overcast clouds,-10.0681,-78.1522,Hotel Miramar
1685,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
1686,Hobart,AU,81.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
1694,Launceston,AU,80.62,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
1701,Bambous Virieux,MU,81.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
1702,Paka,MY,84.13,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
1706,Balikpapan,ID,85.19,light rain,-1.2675,116.8289,ibis Balikpapan
1711,Codrington,AU,79.65,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
1713,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
1714,Saint-Philippe,RE,81.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1716,Biak,ID,85.51,overcast clouds,-0.9131,122.8766,Penginapan Kim
1723,Papetoai,PF,81.99,light rain,-17.4961,-149.8729,Fare Vaihere
1724,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
1725,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
1726,Port Alfred,ZA,76.55,broken clouds,-33.5906,26.891,The Halyards Hotel
1727,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1730,Mahebourg,MU,81.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1733,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
1740,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
1742,Ngunguru,NZ,76.15,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
1755,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
1756,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
1759,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
1760,Monrovia,LR,76.8,light rain,6.3005,-10.7969,Sunset Inn
1763,Mayumba,GA,75.96,broken clouds,-3.432,10.6554,LIKWALE LODGE
1766,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
1770,Fort Wellington,GY,76.73,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
1773,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
1784,Bambous Virieux,MU,81.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
1788,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
1789,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
1790,Eten,PE,70.52,overcast clouds,-6.9081,-79.8642,Hospedaje Sol Radiante
1792,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1802,Curuca,BR,73.63,overcast clouds,-0.7289,-47.8481,Hotel Curuça
1803,Arraial Do Cabo,BR,74.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
1804,Mahebourg,MU,81.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1807,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
1809,West Bay,KY,77.0,few clouds,19.3667,-81.4167,Calypso Cove
1811,Axim,GH,77.59,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
1816,Hobart,AU,81.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
1819,Dingle,PH,84.56,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
1822,Sur,OM,71.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
1824,Atuona,PF,78.85,scattered clouds,-9.8,-139.0333,Villa Enata
1825,Caravelas,BR,74.91,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
